name,artist,from_date,to_date,location,description,borough,lat,lng,active
Living Sculptures,Christian Jankowski,2008-11-24,2009-05-27,Doris Freedman Plaza,"<p>Christian Jankowski's<em> Living Sculptures</em> consists of 
              three bronze sculptures inspired by the tradition of professional 
              street performers who pose motionless as historical or fantastical 
              figures for spectators to photograph. Specifically these works draw 
              inspiration from three street performers Jankowski observed and 
              selected from a public thoroughfare in Barcelona, who regularly 
              present themselves as the likenesses of a Roman legionnaire who 
              refers to himself as &ldquo;Caesar,&rdquo; the revolutionary leader 
              Che Guevara, and an enigmatic woman inspired by a figure known as 
              &ldquo;The Anthropomorphic Cabinet Woman,&rdquo; created by artist 
              Salvador Dali. </p>
            <p>Jankowski's sculptures are, in essence, statues of people <em>performing</em> 
              as statues. Representing modern day figures, both real and imagined, 
              they are exceptionally life&ndash;like, though solid bronze in their 
              composition. Their human scale and figurative representation beckon 
              viewers to come close, consider whether they are real people, pose 
              next to them for photos, and perhaps even leave a few coins in appreciation.</p>
            <p>This is a project of the <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.publicartfund.org/"">Public 
              Art Fund</a>.</p>",M,,,1
The Park,Shannon Plumb,2009-03-19,2009-04-23,,"<p>In <em>The Park</em>, Shannon Plumb inserts a variety of characters
into the Madison Square Park&rsquo;s everyday moments. Plumb, known for using
handmade props and costumes in order to inhabit vaudevillian-inspired
characters in her videos, has made many visits to Madison Square Park
in 2008 to film 8mm footage during each different season to use as
backdrops for these videos. The resulting 12 works track the comedy
and, at times, tragedy that comes with living our private lives
out-of-doors. </p>

            <p><em>The Park</em> is screened daily from 11:00 a.m. to 5:00 p.m. on four outdoor 
              video screens on the grounds of the Shake Shack.</p>

<p>This project is organized and sponsored by the <a href=""https://www.madisonsquarepark.org/Home/Default.aspx"">Madison Square Park Conservancy</a>.</p>",M,,,1
The Arrows of Time,Eleanora Kupencow,2008-07-01,2009-03-31,,"Eleanora Kupencow&rsquo;s colorful figures are made from cut, painted 
              steel. For the title, the artist borrowed a term from natural science. 
              Coined in 1927 by British astronomer Arthur Eddington, an &ldquo;arrow 
              of time&rdquo; specifies the direction of time on a four-dimensional relativistic 
              map of world.",M,,,1
State Fair,Various Artists,2009-05-10,2009-08-02,,"Curated by Alyson Baker, Mark Dion, and Marichris Ty, State Fair 
              is a group exhibition themed around American rural life and uses 
              the platform of the state fair as a means to examine topics such 
              as animal husbandry, specialized horticulture, small scale farming, 
              culinary arts, and the pageantry within these fields that occurs 
              at fairgrounds across the country. The show will also incorporate 
              work that references traditional craft, and the myriad of amusements, 
              rides, competitions, and entertainment that are presented as part 
              of state fairs. Featured artists include Margarita Cabrera, Jennifer 
              Cecere, Emily Feinstein, Charles Gute, Jeanine Oleson, Risa Puno, 
              Dana Sherwood &amp; The Black Forest Fancies, Stephen Shore, Jason Simon, 
              William Stone, and Bernard Williams.",Q,,,1
A View From the Lunchroom,LEAP,2008-06-01,2008-08-29,Various Locations,"<p>This exhibition, entitled <em>A View From the Lunchroom  : Students Bringing Issues to the Table</em>,
is part of LEAP&rsquo;s Public Art Program. LEAP (Learning through an
Expanded Arts Project) brings teaching artists and experts to
approximately 300 schools per year in the greater New York metropolitan
region. The program uses the arts and hands-on activities to teach the academic curriculum.</p>
         
		<p>As part of the program,
LEAP&rsquo;s instructors challenged the students to explore vital social
issues in their communities and to reflect aspects of those issues,
using common lunchroom tables as their canvas. In this program,
students had the opportunity to meet with and study the works of
esteemed artists, including Christo and Jeanne-Claude, Audrey Flack,
and Tom Otterness. The goal was for students to learn about the
historical power and influence of public art and how to incorporate
this knowledge in their creations.</p> 
        <p>Artworks can be
found at St. James and Crotona parks in the Bronx; Herbert von King
and Maria Hernandez parks in Brooklyn; Marcus Garvey and Sara D.
Roosevelt parks in Manhattan; Marconi and Court Square parks in Queens;
and Silver Lake Park and Stapleton Playground in Staten Island.</p>
        <p>For more information, please visit <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.leap.org"">the LEAP website.</a></p>",c,,,1
Lo! The Fiery Whirlpool,Anna Craycroft,2007-10-17,2008-06-09,,"<p>Anna Craycroft&rsquo;s <em>Lo! The  Fiery Whirlpool </em>is a study in
contrasts. The thick base of the smaller-than-life-size corten steel
lighthouse suggests permanency and a certain ruggedness that seems at
odds with the filigree, almost lacy, cut-out at the apex of the
structure. The form of the work suggests a lighthouse, a structure that
is meant to be impervious to the weather. In contrast to this is the
velvety, rusted texture of the steel, a literal testament to the
structure&rsquo;s vulnerability to water and air.</p>
<p> Craycroft&rsquo;s work was
previously shown at Socrates Sculpture Park as part of the Emerging
Artists show in 2004, at P.S.1/MoMA, and at Governor's Island, among
other locations.</p>",X,,,1
Moore in America: Monumental Sculpture at The New York Botanical Garden,Henry Moore,2008-05-24,2008-11-02,New York Botanical Garden,"<p>This exhibition is the largest outdoor presentation of Henry Moore's
sculpture ever presented in a single venue in the United States. The 20
colossal works are displayed throughout the Garden's 250 acres and
among its 50 gardens and plant collections, providing for an impressive
interaction of nature and art, such as Moore envisioned. Henry Spencer
Moore (July 30, 1898&ndash;August 31, 1986), born in the coal-mining town of
Castleford, Yorkshire, in England, is one of the world&rsquo;s most known and
beloved 20th-century sculptors.</p>
         
        <p>Moore began
studying sculpture as an art student in 1919. Today, his distinctive
bronze works are displayed around the world. His subject matter is
often a reclining woman, a mother and child, or a relationship in
nature. His sculpture makes reference to the landscape and flowing
hills of the countryside. Moore intended that his monumental works be
presented in expansive landscapes where their mass and size could be
seen from many angles, in a great variety of light, and in differing
seasons. He wanted people to get up close and touch them.</p>",X,,,1
The Strategic Placement of Stone,Samuel Nigro,2008-06-26,2009-05-15,,"<p>This sculpture is a 9-ton block of granite that has been split in
two and then recombined. The work encourages visitors to think about
the way massive pieces can come apart and fit back together.
It is the artist's largest stone sculpture to date. Rough, polished,
and beveled surfaces provide a contrast of textures.</p>
         
		<p>Nigro
lives and works in DUMBO, and he hopes to bring to his neighborhood a
""fresh look at an old medium"" while contributing to the vibrant
artistic culture there. His work has been shown in numerous national
and international venues, and he has benefitted from residencies at
Yaddo, MacDowell, and The Vermont Studio Center, and grants from
Artist's Space, The Sculpture Center, and Socrates Sculpture Park.</p>",B,,,1
Large Covered Wagon,Tom Otterness,2008-04-15,2009-04-10,,"<p>A large, humorous bronze sculpture with historical references, Tom Otterness's <em>Large Covered Wagon</em>
depicts a smiling, pipe&ndash;puffing pioneer woman steering a covered wagon
with the assistance of her yoked bull. Located at Clumber Corner at the
entrance to DUMBO, <em>Large Covered Wagon</em> will be on view
through January 2009. The installation was made possible by the
Walentas Foundation LLC, Two Trees Management Co. and the DUMBO
Improvement District.</p>
         
				<p>Tom Otterness has
exhibited widely and completed commissions in the U.S. and abroad. His
stylized bronze figures combine into sculptural ensembles that explore
the range of human experience, from grand ambition to common foibles,
plucking imagery and themes from popular culture and subtly
transforming them into humorous commentary.</p>",B,,,1
Tree Huts,Tadashi Kawamata,2008-10-02,2009-02-15,,"<p>Tadashi Kawamata creates complex and chaotic architectural growths
of raw lumber, found objects, and construction scraps that bloom around
the park&rsquo;s trees. His artistic practice is finely attuned to the site&rsquo;s
physical characteristics and is organic and improvisational.</p>
         
		<p>Kawamata
has made an international reputation by fashioning humble materials and
found objects such as untreated lumber, chairs, barrels, and
construction scraps into poetic and transformative interventions into
public space. His &ldquo;Project on Roosevelt Island&rdquo; (1992), in which
Kawamata surrounded the island&rsquo;s derelict Smallpox Hospital building
with a massive and complex web of simple wood scaffolding, remains one
of the most well known and highly regarded solo public art works in New
York City&rsquo;s history. Tadashi Kawamata was born in 1953 on the Japanese
island of Hokaido, and he currently lives and works in Japan.</p> 
        <p>This project is organized and sponsored by the <a href=""https://www.madisonsquarepark.org/"">Madison Square Park Conservancy</a>.</p>",M,,,1
Battenkill,Mia Westerlund,2008-07-15,2008-12-04,Thomas Paine Park,"<p>Mia Westerlund's <em>Battenkill</em> is an urban oasis at Thomas
Paine Park. The sculpture, named for a river in Vermont, is formed by
an open circular stucco wall that beckons park visitors to the ample
seating area along the inside of the wall. Running water bubbles along
the curving rim of the sculpture's wall. The fountain is a first for
the artist, and a second will be shown this fall indoors. This project
is supported by Betty Cuningham Gallery.</p>
           <p>Mia
Westerlund has been exhibiting since the early 1970's. She has received
several prestigious awards, including a grant from the National
Endowment for the Arts, a John Simon Guggenheim Memorial Foundation
Fellowship, and a Fulbright Fellowship. Her work can be found in
numerous public collections, including the Metropolitan Museum of Art,
New York, NY, the Albright-Knox Art Gallery, Buffalo, NY, and at the
Storm King Art Center, Mountainville, NY, where her work is permanently
installed. A native of New York, Mia currently divides her time between
New York City and her studio in upstate New York. </p>",M,,,1
Public Prayer Booths,Dylan Mortimer,2008-09-01,2008-11-24,,"<p>Dylan Mortimer&rsquo;s work deals with how private faith functions in the public realm. The interactive <em>Public Prayer Booth</em> is a synthesis of a telephone booth and a prayer station. The viewer can flip down a kneeler and engage in prayer.</p>
          
          
           <p>&ldquo;My
goal is to spark dialogue about a topic often avoided, and often
treated cynically by the contemporary art world,&rdquo; says Mortimer. &ldquo;I
employ the visual language of signage and public information systems,
using them as a contemporary form of older religious communication
systems: stained glass, illuminated manuscripts, church furniture, etc.
I balance humor and seriousness, sarcasm and sincerity, in a way that
bridges a subject matter that is often presented as heavy or difficult.&rdquo;</p>
           <p>The artist is based in Kansas City, and is a recent graduate of NY&rsquo;s School of Visual Arts Masters (MFA) program.</p>",M,,,1
Pulse Park,Rafael Lozano-Hemmer,2008-10-24,2008-11-17,,"<p>Rafael Lozano-Hemmer combines seemingly disparate fields of
architecture, digital media, robotics, medical science, and performance
art into enormous temporary landscapes of light and rhythm that double
as platforms for public participation.</p>
         
		<p><em>Pulse Park</em>
is inspired by Roberto Gavaldon&rsquo;s film <span style=""font-style: italic;"">Macario</span> (Mexico, 1960) in which the
protagonist has a hunger-induced hallucination wherein individuals are
represented by lit candles. In <em>Pulse Park</em>, evening visitors
to Madison Square Park will have their systolic and diastolic heart
rates measured by one of two sensor sculptures installed at the North
and South ends of the Oval Lawn. These biometric rhythms are translated
and projected as pulses of narrow-beam light that move sequentially
down rows of spotlights placed along the perimeter of the lawn as each
consecutive participant makes contact with the sensors. The result is a
communal expression of vital signs, transforming the public space into
a fleeting architecture of light and movement. 
        
        </p><p><em>Pulse Park</em> be viewed nightly from dusk until 11:00 p.m.</p>
        
        <p>This project is organized and sponsored by the <a href=""https://www.madisonsquarepark.org/"">Madison Square Park Conservancy</a>.</p>",M,,,1
Heads,Jun Kaneko,2008-06-21,2008-11-16,,"<p>Jun Kaneko is an internationally renowned artist known for his large
ceramic sculptures. Three of the artist's largest sculptures, each
entitled <span style=""font-style: italic;"">HEAD</span> (2004 to 2007), are on view in the landscaped medians at
52nd, 53rd, and 54th streets.</p>
          
          
           <p>Japanese-born
Kaneko has been based in Omaha, Nebraska since 1986. His artwork
appears in numerous international and national solo and group
exhibitions annually, and is included in more than seventy museum
collections. He has realized over thirty public art commissions in the
United States and Japan and is the recipient of national, state, and
organization fellowships.</p>",M,,,1
Mao Jacket,Sui Jianguo,2008-09-08,2008-11-15,Park Avenue at 70th Street,"<p>Coinciding with the exhibition Art and China's Revolution, Asia
Society and the NYC Department of Parks &amp; Recreation present a
10-foot high Mao jacket sculpture created by Sui Jianguo (b. 1956,
China), one of the most important contemporary Chinese sculptors
working today. The Mao jacket is part of the series ""Legacy Mantle"" for
which he is best known. The four-ton metal jacket is three meters high, 2.5
meters wide, and 1.5 meters deep.</p> 
          <p>Since the late
1990s, the artist has adopted two motifs for which he is now widely
known: dinosaurs and the Mao jacket. The iconic Mao jacket, emptied of
its signature occupant, appears in monumental fiberglass and in
smaller-sized versions made of aluminum and other materials. At times,
Sui Jianguo combines the two motifs, as in <span style=""font-style: italic;"">Sleeping Mao</span>, in which a
fiberglass sculpture of the legendary leader reclines on thousands of
tiny dinosaurs. Sui Jianguo has exhibited internationally. He is based
in Beijing, where he heads the sculpture department at the Central
Academy of Fine Arts.</p>",M,,,1
Our Starry Night,James Yamada,2008-04-21,2008-11-12,Doris Freedman Plaza,"<p>Built from powder-coated aluminum and punctuated with 1,900 colored
LED lights, <span style=""font-style: italic;"">Our Starry Night</span> is a 12-foot-tall sculpture that acts as
an interactive passageway to Central Park. When visitors walk through
the portal, they trigger a metal detector hidden inside the structure's
casing that activates the LED lights on the exterior of the sculpture.
The sculpture is only illuminated while the participant is standing
within the passageway, and therefore he or she is not able to see the
light patterns being created on the exterior surfaces. Instead, the
lighting is visible to passersby on the street corner and in the park.</p>
           <p>In
this work, Yamada calls our attention to the expanding, yet
increasingly subtle, presence of surveillance in the contemporary
world. It also points towards such philosophical and political
considerations as the loss of privacy in the name of greater safety and
the use of personal information.</p>
           <p>This is a project of the <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.publicartfund.org/"">Public Art Fund</a>.</p>",M,,,1
